name,reg_no,cgpa
Isa,REG000109,2.78
Hector,REG000110,2.31
Emilie,REG000111,3.53
Dexter,REG000112,2.67
Angel,REG000113,2.00
Valmore,REG000114,1.73
Joshua,REG000115,3.10
Nelle,REG000116,4.21
Rubye,REG000117,2.93
Mitchel,REG000118,1.87
Priscilla,REG000119,3.62
Frida,REG000120,1.73
Christine,REG000121,4.33
Noreen,REG000122,2.73
Etna,REG000123,2.67
Cleon,REG000124,1.87
Rella,REG000125,2.12
Omega,REG000126,1.73
Dewitt,REG000127,3.50
Simon,REG000128,4.42
Lavina,REG000129,3.31
Lucious,REG000130,2.54
Harley,REG000131,4.15
Pilar,REG000132,1.73
Larkin,REG000133,2.31
Hobert,REG000134,2.12
Dominick,REG000135,3.34
Kate,REG000136,5.47
Aloysius,REG000137,2.12
Mai,REG000138,1.87
Arvil,REG000139,1.73
Elvina,REG000140,3.06
Gina,REG000141,2.31
Arch,REG000142,3.53
Miller,REG000143,1.87
Lorne,REG000144,2.00
Arline,REG000145,3.40
Vista,REG000146,2.22
Bernadine,REG000147,2.78
Alene,REG000148,2.93
Belva,REG000149,3.34
Berton,REG000150,2.00
Aleta,REG000151,2.47
Bernetta,REG000152,2.84
Annah,REG000153,1.73
Lester,REG000154,2.12
Grover,REG000155,4.42
Andrea,REG000156,2.12
Jettie,REG000157,2.00
Beryle,REG000158,2.22
Marry,REG000159,2.00
Aurore,REG000160,3.14
Alcide,REG000161,1.73
Mayola,REG000162,1.73
Aleta,REG000163,2.12
Lorina,REG000164,1.73
Edna,REG000165,1.73
Lucilla,REG000166,1.73
Austie,REG000167,1.73
Zena,REG000168,2.98
Ardith,REG000169,2.00
May,REG000170,1.87
Sanders,REG000171,1.87
Parlee,REG000172,2.12
Elden,REG000173,2.00
Barbara,REG000174,5.69
Carla,REG000175,2.12
Sydney,REG000176,2.47
Enes,REG000177,1.73
Lutie,REG000178,2.12
Ephraim,REG000179,2.12
Preston,REG000180,4.18
Bryant,REG000181,2.61
Shelly,REG000182,2.12
Tim,REG000183,2.61
Elvie,REG000184,1.87
Floyd,REG000185,6.11
Okla,REG000186,2.22
Angel,REG000187,1.73
Estellar,REG000188,1.73
Iola,REG000189,4.91
Jules,REG000190,2.78
Myrl,REG000191,1.73
Bertina,REG000192,1.73
Issac,REG000193,2.00
Louva,REG000194,1.87
Bernardine,REG000195,2.84
Sanford,REG000196,3.02
Effa,REG000197,2.47
Shelby,REG000198,2.39
Delmar,REG000199,1.73
Lyman,REG000200,3.50
Girtie,REG000201,1.73
Virgie,REG000202,5.30
Wallace,REG000203,5.33
Ena,REG000204,2.54
Mack,REG000205,4.88
Celia,REG000206,4.85
Hildur,REG000207,2.61
Birtha,REG000208,1.73
Sibyl,REG000209,2.12
Catherine,REG000210,1.73
Caro,REG000211,1.73
Gunhild,REG000212,1.87
Cecile,REG000213,3.42
Sedalia,REG000214,1.73
Valeria,REG000215,3.62
Susannah,REG000216,1.73
Elba,REG000217,2.31
Jesse,REG000218,6.13
Maynard,REG000219,2.67
Linus,REG000220,2.31
Rupert,REG000221,2.54
Wyatt,REG000222,2.54
Porter,REG000223,3.58
Forrest,REG000224,3.89
Frank,REG000225,2.98
Loma,REG000226,3.10
Clementine,REG000227,3.28
Calista,REG000228,1.87
Allan,REG000229,4.26
Josh,REG000230,3.34
Howard,REG000231,6.08
Alva,REG000232,3.97
Ephraim,REG000233,2.00
Glen,REG000234,3.69
Alexander,REG000235,5.13
Rachael,REG000236,2.61
Hubert,REG000237,4.61
Carol,REG000238,2.00
Orange,REG000239,2.31
Blanche,REG000240,6.95
Olie,REG000241,2.12
Golda,REG000242,3.69
Elida,REG000243,2.31
Mintie,REG000244,2.61
Dovie,REG000245,3.86
Filomena,REG000246,3.14
Yvonne,REG000247,2.89
Reva,REG000248,2.54
Eloise,REG000249,4.99
Elisabeth,REG000250,3.88
Bart,REG000251,2.12
Dot,REG000252,2.00
Lamar,REG000253,2.73
Pat,REG000254,3.45
Carleton,REG000255,2.12
Olinda,REG000256,2.54
Mollie,REG000257,5.72
Pasquale,REG000258,3.31
Mont,REG000259,2.00
Silas,REG000260,3.93
Harvey,REG000261,5.56
Seymour,REG000262,2.61
America,REG000263,2.98
Vicente,REG000264,2.00
Dana,REG000265,2.39
Foster,REG000266,3.31
Young,REG000267,2.39
Carry,REG000268,1.87
Spencer,REG000269,3.40
Littie,REG000270,1.73
Roswell,REG000271,1.87
Selma,REG000272,5.74
Evan,REG000273,2.61
Gordon,REG000274,4.55
Mannie,REG000275,2.78
Stewart,REG000276,3.42
Merlin,REG000277,2.12
Ena,REG000278,2.22
Bonnie,REG000279,2.78
Velna,REG000280,1.73
Dora,REG000281,1.87
Clay,REG000282,3.37
Dona,REG000283,3.73
Viola,REG000284,7.30
Ace,REG000285,1.87
Palmer,REG000286,2.31
Ela,REG000287,2.22
Roxy,REG000288,2.31
Jackson,REG000289,3.24
Thelma,REG000290,6.17
Maymie,REG000291,2.98
Buck,REG000292,3.42
Wade,REG000293,3.86
Ivory,REG000294,3.14
Terrence,REG000295,2.31
Cassie,REG000296,4.24
Martha,REG000297,6.69
Wilford,REG000298,3.14
Hetty,REG000299,1.87
Tena,REG000300,3.06
Berenice,REG000301,2.00
Hetty,REG000302,2.22
Alverta,REG000303,2.61
Lizzie,REG000304,5.90
Ambers,REG000305,2.12
Harry,REG000306,2.00
Raymond,REG000307,6.52
Casimira,REG000308,1.73
Gladys,REG000309,5.81
Hessie,REG000310,2.73
Howard,REG000311,6.09
Roberta,REG000312,3.69
Elige,REG000313,2.22
Hiram,REG000314,3.62
Don,REG000315,3.17
Duncan,REG000316,2.12
Jesus,REG000317,2.61
Loraine,REG000318,4.91
Mennie,REG000319,2.39
Audie,REG000320,3.34
Doctor,REG000321,2.47
Oscar,REG000322,6.17
Bonifacio,REG000323,1.87
Houston,REG000324,3.60
Dave,REG000325,4.56
Bee,REG000326,2.54
Hannie,REG000327,1.73
Emanuel,REG000328,3.69
Gibson,REG000329,2.12
Abraham,REG000330,4.30
Sidonia,REG000331,2.12
Louis,REG000332,2.00
Benjamin,REG000333,6.06
Amalie,REG000334,2.12
Edmund,REG000335,4.08
Leva,REG000336,2.93
Winnie,REG000337,4.79
Bulah,REG000338,2.98
Meredith,REG000339,2.12
Ionia,REG000340,1.73
Lonzo,REG000341,2.54
Matthew,REG000342,4.65
Leonor,REG000343,3.17
Sarah,REG000344,7.20
Harvie,REG000345,1.73
Norah,REG000346,2.39
Governor,REG000347,1.73
Oscar,REG000348,6.22
Claude,REG000349,2.12
Handy,REG000350,2.00
Pheobe,REG000351,2.00
Eleanor,REG000352,6.49
Pairlee,REG000353,1.73
Theodore,REG000354,6.26
Lalla,REG000355,1.73
Hunter,REG000356,2.31
Fidel,REG000357,1.87
Tobe,REG000358,2.73
Marguerite,REG000359,6.28
Altha,REG000360,3.02
Alvina,REG000361,4.43
Queen,REG000362,3.37
Anastacio,REG000363,2.67
Elsie,REG000364,2.00
Philomene,REG000365,2.73
Maria,REG000366,5.59
Elenor,REG000367,2.12
Ollie,REG000368,4.44
Jason,REG000369,3.14
Wiley,REG000370,4.23
Elener,REG000371,1.73
Brady,REG000372,1.87
Shade,REG000373,2.00
Hollie,REG000374,2.00
Leora,REG000375,3.81
Tobias,REG000376,1.73
Orla,REG000377,1.73
Avery,REG000378,2.93
Willie,REG000379,7.21
Eda,REG000380,3.14
Elmer,REG000381,6.16
Adela,REG000382,3.48
Bena,REG000383,2.12
Shelby,REG000384,3.34
Hettie,REG000385,4.64
Johnie,REG000386,3.48
Beryl,REG000387,4.11
Emile,REG000388,3.24
Oral,REG000389,2.47
Sol,REG000390,4.21
Gabriel,REG000391,2.67
Barnett,REG000392,1.73
Cherry,REG000393,2.12
Leafy,REG000394,1.87
Delta,REG000395,3.21
Whit,REG000396,2.12
Adelene,REG000397,2.22
Elmore,REG000398,2.73
Pinkey,REG000399,2.78
Emerald,REG000400,1.73
Fabian,REG000401,1.87
Charlie,REG000402,6.32
Cyril,REG000403,3.50
Jesse,REG000404,3.21
Lucille,REG000405,7.41
Gay,REG000406,2.12
Joan,REG000407,4.49
Lina,REG000408,3.82
Rettie,REG000409,1.73
Fannie,REG000410,6.74
Ethyle,REG000411,1.87
Laura,REG000412,2.00
Gregorio,REG000413,1.87
Morris,REG000414,5.69
Leroy,REG000415,5.47
Salome,REG000416,2.73
Veronica,REG000417,5.18
Oca,REG000418,1.87
Roxanna,REG000419,1.73
Wilton,REG000420,2.12
Doretha,REG000421,1.87
Spence,REG000422,1.73
Letty,REG000423,2.54
Roby,REG000424,1.73
Gloria,REG000425,4.27
Vivien,REG000426,1.73
Milo,REG000427,2.98
Roseann,REG000428,2.00
Philo,REG000429,1.73
Iona,REG000430,3.91
Eulalia,REG000431,3.31
Florina,REG000432,2.00
Marjorie,REG000433,1.87
Rosalyn,REG000434,2.61
Rubin,REG000435,2.22
Cyril,REG000436,2.31
Jeannie,REG000437,2.12
Melville,REG000438,2.22
Elberta,REG000439,1.73
Joe,REG000440,6.34
Juliet,REG000441,2.67
Lexie,REG000442,3.14
Ann,REG000443,5.76
Ivory,REG000444,2.47
Bonnie,REG000445,5.00
Major,REG000446,3.58
Jep,REG000447,1.73
Dolores,REG000448,5.02
Merrill,REG000449,2.00
Loma,REG000450,1.87
Elden,REG000451,2.00
Thyra,REG000452,2.78
Classie,REG000453,2.78
Vernal,REG000454,2.22
Teresita,REG000455,2.00
Nolan,REG000456,2.22
Orie,REG000457,2.00
Carry,REG000458,1.87
Chalmer,REG000459,2.00
Weston,REG000460,1.73
Gregoria,REG000461,2.12
Louise,REG000462,6.93
Lulu,REG000463,4.26
Venita,REG000464,2.00
Carrie,REG000465,7.02
Elzie,REG000466,1.73
George,REG000467,8.07
Jean,REG000468,3.24
Toy,REG000469,2.22
Huldah,REG000470,2.47
Claud,REG000471,4.20
Milburn,REG000472,1.73
Lillian,REG000473,7.77
Judge,REG000474,2.84
Narcissus,REG000475,1.73
Lillian,REG000476,7.89
Lew,REG000477,2.22
Malvina,REG000478,2.54
Wayman,REG000479,2.22
Antonia,REG000480,3.17
Adda,REG000481,2.93
Ewald,REG000482,2.22
Virgie,REG000483,4.44
Elmer,REG000484,6.04
Edmond,REG000485,3.82
Lorna,REG000486,2.61
Drucilla,REG000487,2.39
Liddie,REG000488,2.73
Teressa,REG000489,1.73
Bill,REG000490,4.48
Sammie,REG000491,2.98
Carmen,REG000492,4.23
Odell,REG000493,2.47
Max,REG000494,4.40
Luciel,REG000495,2.84
Oran,REG000496,2.39
Annette,REG000497,4.64
Urban,REG000498,2.31
Luciano,REG000499,2.12
Allean,REG000500,1.73
Idell,REG000501,1.73
Nena,REG000502,2.00
Ethel,REG000503,7.16
Ludmilla,REG000504,1.87
Loretto,REG000505,2.78
Montie,REG000506,2.00
Jonas,REG000507,3.34
Lawyer,REG000508,2.54
Blanche,REG000509,5.84
Fronia,REG000510,2.00
Louvenia,REG000511,2.93
Lue,REG000512,1.73
Ocie,REG000513,2.47
Shelley,REG000514,1.87
Margarett,REG000515,3.02
Giles,REG000516,2.78
Williemae,REG000517,2.47
Rosetta,REG000518,4.99
Elvie,REG000519,2.22
Caleb,REG000520,2.39
Johnie,REG000521,2.39
Cordia,REG000522,2.47
Mildred,REG000523,1.87
Mearl,REG000524,2.00
Nan,REG000525,3.94
Peter,REG000526,1.87
Charley,REG000527,5.46
Corrine,REG000528,3.14
Nilda,REG000529,1.73
Cleda,REG000530,1.73
Marguerite,REG000531,4.66
Arabella,REG000532,2.22
Claude,REG000533,5.75
Nelia,REG000534,2.00
Meryl,REG000535,2.98
Mason,REG000536,3.06
Burnie,REG000537,1.73
Cary,REG000538,2.78
Sam,REG000539,2.00
Conrad,REG000540,3.55
Sylvanus,REG000541,1.73
Kathrine,REG000542,3.17
Berkley,REG000543,1.73
Azilee,REG000544,1.87
Louanna,REG000545,1.87
Margarite,REG000546,2.47
Sammie,REG000547,2.47
Effa,REG000548,2.31
Louetta,REG000549,2.00
Giles,REG000550,2.22
Floyd,REG000551,5.65
Laurel,REG000552,1.73
Hertha,REG000553,3.02
Cressie,REG000554,2.31
Angeline,REG000555,4.54
David,REG000556,6.39
Cathleen,REG000557,2.12
Bonita,REG000558,2.00
Etter,REG000559,2.39
Arnett,REG000560,1.73
Georgianna,REG000561,3.14
Vinnie,REG000562,3.71
Onnie,REG000563,1.73
Odie,REG000564,2.93
Patrick,REG000565,5.19
Lafayette,REG000566,3.02
Emmett,REG000567,4.44
Christena,REG000568,2.39
Leslie,REG000569,5.27
Celia,REG000570,4.45
Evelene,REG000571,1.87
Gizella,REG000572,2.39
Emelia,REG000573,3.17
Elwin,REG000574,3.02
Leeta,REG000575,2.12
Leaner,REG000576,1.87
Marcellus,REG000577,2.73
Zeb,REG000578,1.87
Curry,REG000579,1.87
Maymie,REG000580,2.54
Vicente,REG000581,2.00
Relda,REG000582,2.12
Rinda,REG000583,2.00
Tomas,REG000584,2.54
Chris,REG000585,3.45
Lona,REG000586,4.29
Ocie,REG000587,3.64
Bertie,REG000588,4.52
Lenore,REG000589,4.21
Jewel,REG000590,4.16
Albina,REG000591,3.02
Davis,REG000592,3.10
Clarice,REG000593,2.31
Merle,REG000594,3.17
Dorsey,REG000595,2.67
Elenora,REG000596,3.45
Rosanna,REG000597,3.10
Amalia,REG000598,2.12
Christ,REG000599,2.22
Ida,REG000600,7.25
Lum,REG000601,1.87
Olive,REG000602,6.16
Nelle,REG000603,4.63
Drucilla,REG000604,2.84
Rubina,REG000605,1.73
Lola,REG000606,1.73
Burt,REG000607,3.02
Lemuel,REG000608,3.40
Veda,REG000609,3.82
Wynona,REG000610,2.00
Madelyn,REG000611,2.93
Sol,REG000612,3.50
Owen,REG000613,4.27
Addison,REG000614,2.47
Rissie,REG000615,1.87
Tabitha,REG000616,2.00
Sudie,REG000617,3.86
Orion,REG000618,1.87
Norton,REG000619,2.12
Basil,REG000620,3.55
Roswell,REG000621,2.22
Audrey,REG000622,2.39
Classie,REG000623,1.87
Dicie,REG000624,2.47
Arch,REG000625,3.97
Willard,REG000626,4.84
Albert,REG000627,7.01
Scottie,REG000628,1.87
Hanna,REG000629,3.53
Malissa,REG000630,3.02
Ashley,REG000631,1.87
Angus,REG000632,2.39
Adolphus,REG000633,2.61
Obie,REG000634,1.87
Macy,REG000635,2.61
Janie,REG000636,4.56
Cliffie,REG000637,1.87
Alleen,REG000638,2.00
Micheal,REG000639,1.87
Johnnie,REG000640,5.34
Belva,REG000641,3.06
Johney,REG000642,2.12
Allison,REG000643,1.73
Margery,REG000644,4.05
Birl,REG000645,1.73
Thea,REG000646,2.31
Estelle,REG000647,5.45
Isiah,REG000648,3.55
Ardelia,REG000649,2.22
Norman,REG000650,5.09
Lena,REG000651,6.80
Andres,REG000652,2.12
Oleta,REG000653,3.84
Loyd,REG000654,3.97
Viva,REG000655,3.31
Jose,REG000656,4.54
Julian,REG000657,4.22
Prentice,REG000658,2.22
William,REG000659,8.44
Dossie,REG000660,1.87
Celeste,REG000661,3.53
Isobel,REG000662,2.54
Thomas,REG000663,7.30
Anita,REG000664,5.15
Louie,REG000665,3.62
Aquilla,REG000666,1.73
Cynthia,REG000667,4.30
Gilman,REG000668,1.73
Alexander,REG000669,5.83
Tiney,REG000670,1.73
Avery,REG000671,2.00
Gene,REG000672,2.89
Billy,REG000673,2.12
Hortense,REG000674,2.61
Arleen,REG000675,2.22
Virda,REG000676,1.73
Reba,REG000677,4.12
Chauncey,REG000678,2.47
Gina,REG000679,1.73
Adline,REG000680,2.61
Oma,REG000681,4.34
Brown,REG000682,2.12
Casimir,REG000683,2.00
Agness,REG000684,2.00
Durward,REG000685,2.67
Laura,REG000686,6.96
Edith,REG000687,7.40
Jaunita,REG000688,3.99
Augusta,REG000689,2.12
Marion,REG000690,5.03
Donato,REG000691,1.87
Jesus,REG000692,2.39
Orrie,REG000693,1.73
Nona,REG000694,4.20
Rosemarie,REG000695,2.98
Sherman,REG000696,3.79
Eric,REG000697,2.98
Catherine,REG000698,2.39
Amma,REG000699,1.73
Christ,REG000700,2.22
Julian,REG000701,3.77
Grant,REG000702,4.13
Shelby,REG000703,2.67
Bryant,REG000704,2.73
Pearley,REG000705,1.73
Tressie,REG000706,2.61
Erastus,REG000707,2.47
Laura,REG000708,7.12
Roxie,REG000709,4.44
Odelle,REG000710,1.73
Billie,REG000711,4.27
Letitia,REG000712,3.42
Elvis,REG000713,2.31
Melinda,REG000714,2.93
Burnell,REG000715,2.22
Violet,REG000716,4.47
Neomia,REG000717,1.87
Florice,REG000718,2.00
Tommy,REG000719,1.73
Veronica,REG000720,3.45
Vivian,REG000721,2.93
Webb,REG000722,2.31
Susie,REG000723,6.17
Theo,REG000724,3.24
Crystal,REG000725,2.22
Suda,REG000726,1.87
Nora,REG000727,6.36
Deborah,REG000728,2.31
Clement,REG000729,3.06
Stafford,REG000730,2.31
Leitha,REG000731,2.31
Fenton,REG000732,2.22
Mabel,REG000733,7.37
Elie,REG000734,2.61
Benjamine,REG000735,2.47
Myrl,REG000736,3.40
Seferina,REG000737,1.73
Collins,REG000738,2.31
Rosalind,REG000739,1.87
Bee,REG000740,2.39
Tess,REG000741,2.39
Merritt,REG000742,2.78
Veda,REG000743,3.17
Katy,REG000744,3.10
Theo,REG000745,3.10
Zola,REG000746,2.12
Edie,REG000747,1.87
Tim,REG000748,2.73
Nelma,REG000749,2.12
Denver,REG000750,2.12
Orrin,REG000751,2.47
Boyd,REG000752,3.71
Lera,REG000753,2.67
Marilla,REG000754,2.00
Merle,REG000755,4.56
Ray,REG000756,2.98
Steve,REG000757,4.67
Maudie,REG000758,4.75
Tillie,REG000759,5.19
Virdie,REG000760,1.87
Ernie,REG000761,2.89
India,REG000762,2.84
Lloyd,REG000763,2.31
Britt,REG000764,1.87
Lattie,REG000765,1.73
Bessie,REG000766,2.39
Burrel,REG000767,1.87
Doshia,REG000768,1.73
Goldia,REG000769,1.87
Olen,REG000770,2.84
Ace,REG000771,2.12
Arlington,REG000772,1.73
Jules,REG000773,2.54
Lenora,REG000774,5.01
Harvy,REG000775,2.22
Adelia,REG000776,3.31
Leslie,REG000777,2.12
Clovis,REG000778,2.47
Ellie,REG000779,3.50
Odies,REG000780,2.00
Thea,REG000781,2.00
Freddie,REG000782,2.47
Helen,REG000783,8.11
Lidie,REG000784,2.12
Annabel,REG000785,3.10
Hamp,REG000786,1.73
Arlena,REG000787,2.31
Sada,REG000788,1.87
Rosena,REG000789,2.39
Crystal,REG000790,4.32
Era,REG000791,3.42
Connie,REG000792,3.02
Curley,REG000793,1.87
Kathleen,REG000794,2.98
Elva,REG000795,4.68
Clarke,REG000796,1.87
Genoveva,REG000797,1.73
Ardella,REG000798,1.87
Melvina,REG000799,3.53
Rossie,REG000800,2.61
Allene,REG000801,4.04
Blanch,REG000802,3.21
Librada,REG000803,2.31
Essa,REG000804,1.87
Leroy,REG000805,5.39
Anne,REG000806,5.83
Russel,REG000807,2.93
Velma,REG000808,1.73
Arla,REG000809,2.22
Liddie,REG000810,2.93
Rene,REG000811,1.73
Mansfield,REG000812,2.00
Inis,REG000813,2.12
Genevieve,REG000814,5.27
Lacy,REG000815,2.47
Rollie,REG000816,2.00
Lane,REG000817,1.73
Dezzie,REG000818,2.12
Leaner,REG000819,2.12
Minetta,REG000820,1.73
Travis,REG000821,3.34
Vance,REG000822,2.00
Artie,REG000823,4.20
Ventura,REG000824,1.87
Cicero,REG000825,2.31
Rosabelle,REG000826,2.12
June,REG000827,3.02
Lea,REG000828,3.06
Geoffrey,REG000829,1.73
Tula,REG000830,2.12
Deloris,REG000831,1.87
Luretta,REG000832,1.73
Coleman,REG000833,2.98
Claude,REG000834,5.74
Refugia,REG000835,2.39
Josefa,REG000836,3.24
Lacy,REG000837,3.06
Thurston,REG000838,2.31
Alf,REG000839,1.73
Bradley,REG000840,2.12
Westley,REG000841,2.47
Joaquin,REG000842,1.73
Lota,REG000843,1.73
Vena,REG000844,3.37
Craig,REG000845,1.87
Hal,REG000846,3.14
Angie,REG000847,3.64
Odell,REG000848,3.91
Cherrie,REG000849,1.87
Myra,REG000850,4.86
Casimer,REG000851,3.14
Penelope,REG000852,2.22
Bertram,REG000853,2.73
Patience,REG000854,2.31
Bama,REG000855,1.73
Corene,REG000856,3.69
Leather,REG000857,2.00
Tempy,REG000858,1.73
Raymond,REG000859,7.36
Correne,REG000860,2.00
Lulu,REG000861,5.00
Hassie,REG000862,2.89
Mettie,REG000863,2.84
Letta,REG000864,2.22
Adelia,REG000865,3.81
Rosina,REG000866,3.10
Press,REG000867,2.00
Dulcie,REG000868,2.00
Belva,REG000869,3.45
Margarite,REG000870,2.39
Ena,REG000871,2.47
Marilda,REG000872,1.73
Mossie,REG000873,2.12
Clemmie,REG000874,3.21
Lizzie,REG000875,6.06
Aloysius,REG000876,3.17
Veva,REG000877,2.22
Myrtie,REG000878,3.93
Solomon,REG000879,4.24
Wright,REG000880,1.87
Therese,REG000881,3.06
Dinah,REG000882,2.47
Josephus,REG000883,1.87
Madeleine,REG000884,2.98
Olene,REG000885,2.31
Freddie,REG000886,3.17
Nanie,REG000887,2.67
Nickolas,REG000888,2.31
Naomi,REG000889,6.14
Thornton,REG000890,2.78
Eunice,REG000891,5.48
Alfred,REG000892,6.03
Racheal,REG000893,2.00
Alford,REG000894,2.73
Julius,REG000895,4.90
Susanna,REG000896,3.75
Corean,REG000897,2.47
Simpson,REG000898,2.12
Lucy,REG000899,2.12
Margarita,REG000900,2.61
Clotilde,REG000901,2.54
Montie,REG000902,1.73
Jody,REG000903,1.87
Donald,REG000904,3.82
Hellen,REG000905,2.12
Cecile,REG000906,3.28
Fritz,REG000907,2.61
Vera,REG000908,6.86
Asa,REG000909,3.02
Bell,REG000910,3.34
Archie,REG000911,5.03
Harriette,REG000912,3.37
Samuel,REG000913,6.38
Fronie,REG000914,2.00
Clement,REG000915,3.69
Edna,REG000916,2.22
Earle,REG000917,3.60
Dolphus,REG000918,2.31
Blossom,REG000919,2.31
Dennie,REG000920,2.22
Juliette,REG000921,3.94
Luna,REG000922,2.84
Corene,REG000923,2.98
Cleo,REG000924,3.10
Reeder,REG000925,1.73
Allyne,REG000926,1.73
Alys,REG000927,1.73
Hedwig,REG000928,3.91
Byron,REG000929,3.91
Gaynelle,REG000930,2.12
Leslie,REG000931,5.41
Rubie,REG000932,3.21
Norman,REG000933,5.71
Percy,REG000934,4.66
Arlene,REG000935,3.40
Paris,REG000936,2.31
Gena,REG000937,2.61
Floy,REG000938,4.02
Netta,REG000939,1.87
August,REG000940,4.75
Jodie,REG000941,2.12
Aleta,REG000942,2.12
Elizebeth,REG000943,3.06
Tandy,REG000944,1.73
Ferdinand,REG000945,3.37
Hanford,REG000946,1.73
Atlanta,REG000947,1.73
Dan,REG000948,4.65
Alfred,REG000949,5.93
Heber,REG000950,2.22
Ilo,REG000951,2.67
Isham,REG000952,2.12
Gretta,REG000953,2.39
Bertram,REG000954,2.89
Shirley,REG000955,2.78
Chester,REG000956,5.37
Rosia,REG000957,2.98
Thersa,REG000958,1.87
Elijah,REG000959,4.02
Evans,REG000960,2.67
Olin,REG000961,3.17
Palmer,REG000962,2.12
Amalia,REG000963,3.10
Dick,REG000964,2.84
Marcus,REG000965,3.67
Rosia,REG000966,3.58
Mazie,REG000967,3.88
Fanny,REG000968,4.44
Ula,REG000969,2.12
Admiral,REG000970,3.14
Bina,REG000971,1.73
Vola,REG000972,2.22
Gail,REG000973,3.37
Birdella,REG000974,1.87
Rena,REG000975,5.22
Sylvester,REG000976,4.39
Eusebia,REG000977,2.12
Manuela,REG000978,2.00
Spencer,REG000979,3.45
Lionel,REG000980,1.87
Josiephine,REG000981,2.22
Harley,REG000982,4.15
Claud,REG000983,4.31
Buel,REG000984,1.87
Evelyn,REG000985,2.12
Robbie,REG000986,2.12
Iva,REG000987,2.12
Hardy,REG000988,3.17
Pearline,REG000989,3.37
Lucia,REG000990,2.67
Chester,REG000991,2.22
Emelie,REG000992,2.47
Genevieve,REG000993,5.29
Jannie,REG000994,3.84
General,REG000995,2.93
Mont,REG000996,1.87
Noble,REG000997,2.31
Gwen,REG000998,1.73
Lenore,REG000999,3.50
Erie,REG001000,2.12
Norine,REG001001,2.54
Myrtie,REG001002,4.11
Jens,REG001003,1.87
Bessie,REG001004,7.46
Ed,REG001005,5.29
Ernestine,REG001006,3.71
Mercedes,REG001007,2.31
Benjaman,REG001008,2.47
Carra,REG001009,1.73
Rich,REG001010,1.87
Loy,REG001011,1.73
Alan,REG001012,2.22
Madelene,REG001013,2.47
Emile,REG001014,2.93
Theadore,REG001015,1.87
Hattie,REG001016,2.39
Zora,REG001017,4.44
John,REG001018,8.77
Hall,REG001019,1.87
Ola,REG001020,2.12
Virginia,REG001021,8.17
